tDate,Country,NumberOfTest
2021-05-16,Australia,0
2021-05-16,Austria,175480
2021-05-16,Belgium,19756
2021-05-16,Canada,98467
2021-05-16,Chile,65886
2021-05-16,Colombia,61453
2021-05-16,Costa Rica,6637
2021-05-16,Czechia,71872
2021-05-16,Denmark,168297
2021-05-16,Estonia,2885
2021-05-16,Finland,9418
2021-05-16,France,54305
2021-05-16,Germany,0
2021-05-16,Greece,23443
2021-05-16,Hungary,15826
2021-05-16,Iceland,828
2021-05-16,Israel,15993
2021-05-16,Italy,272036
2021-05-16,Japan,35948
2021-05-16,Latvia,5590
2021-05-16,Lithuania,5998
2021-05-16,Luxembourg,588
2021-05-16,Mexico,3627
2021-05-16,Netherlands,0
2021-05-16,New Zealand,0
2021-05-16,Norway,9407
2021-05-16,Poland,97161
2021-05-16,Portugal,15707
2021-05-16,Slovakia,126599
2021-05-16,Slovenia,1504
2021-05-16,South Korea,15073
2021-05-16,Spain,0
2021-05-16,Sweden,41424
2021-05-16,Switzerland,10704
2021-05-16,Taiwan,8425
2021-05-16,Turkey,202243
2021-05-16,United Kingdom,1086443
2021-05-16,United States,451227
