Date,Country,NumberOfTest
2021-04-11,Australia,0
2021-04-11,Austria,200841
2021-04-11,Belgium,19413
2021-04-11,Canada,141637
2021-04-11,Chile,72297
2021-04-11,Colombia,67946
2021-04-11,Costa Rica,4350
2021-04-11,Czechia,58776
2021-04-11,Denmark,154064
2021-04-11,Estonia,2917
2021-04-11,Finland,8796
2021-04-11,France,59391
2021-04-11,Germany,0
2021-04-11,Greece,28887
2021-04-11,Hungary,36864
2021-04-11,Iceland,512
2021-04-11,Ireland,14355
2021-04-11,Israel,38995
2021-04-11,Italy,338501
2021-04-11,Japan,22466
2021-04-11,Latvia,5386
2021-04-11,Lithuania,8782
2021-04-11,Luxembourg,457
2021-04-11,Mexico,5223
2021-04-11,Netherlands,0
2021-04-11,New Zealand,4320
2021-04-11,Norway,11147
2021-04-11,Poland,182937
2021-04-11,Portugal,12842
2021-04-11,Slovakia,380124
2021-04-11,Slovenia,1521
2021-04-11,South Korea,21007
2021-04-11,Spain,0
2021-04-11,Sweden,44659
2021-04-11,Switzerland,12028
2021-04-11,Taiwan,159
2021-04-11,Turkey,294274
2021-04-11,United Kingdom,1218037
2021-04-11,United States,642220
