Date,Country,NumberOfTest
2021-05-31,Australia,0
2021-05-31,Austria,212485
2021-05-31,Belgium,49794
2021-05-31,Canada,72716
2021-05-31,Chile,71749
2021-05-31,Colombia,50978
2021-05-31,Costa Rica,3182
2021-05-31,Czechia,329373
2021-05-31,Denmark,149514
2021-05-31,Estonia,4393
2021-05-31,Finland,13113
2021-05-31,France,399611
2021-05-31,Germany,0
2021-05-31,Greece,22986
2021-05-31,Hungary,8052
2021-05-31,Israel,29550
2021-05-31,Italy,117187
2021-05-31,Japan,83703
2021-05-31,Latvia,3297
2021-05-31,Lithuania,23089
2021-05-31,Luxembourg,9565
2021-05-31,Mexico,15444
2021-05-31,Netherlands,0
2021-05-31,New Zealand,2925
2021-05-31,Norway,23481
2021-05-31,Poland,64404
2021-05-31,Portugal,49765
2021-05-31,Slovakia,75261
2021-05-31,Slovenia,3379
2021-05-31,South Korea,12084
2021-05-31,Spain,0
2021-05-31,Sweden,27113
2021-05-31,Switzerland,23936
2021-05-31,Taiwan,27510
2021-05-31,Turkey,219461
2021-05-31,United Kingdom,602019
2021-05-31,United States,309781
