Date,Country,NumberOfTest
2021-11-09,Australia,136463
2021-11-09,Austria,454958
2021-11-09,Belgium,101923
2021-11-09,Canada,72057
2021-11-09,Chile,49894
2021-11-09,Colombia,45421
2021-11-09,Costa Rica,259
2021-11-09,Czechia,107090
2021-11-09,Denmark,168850
2021-11-09,Estonia,9663
2021-11-09,Finland,16797
2021-11-09,France,329120
2021-11-09,Greece,636213
2021-11-09,Hungary,19871
2021-11-09,Iceland,3495
2021-11-09,Ireland,25516
2021-11-09,Israel,85592
2021-11-09,Italy,711672
2021-11-09,Japan,50680
2021-11-09,Latvia,16447
2021-11-09,Lithuania,21212
2021-11-09,Luxembourg,3825
2021-11-09,Mexico,15124
2021-11-09,New Zealand,17481
2021-11-09,Norway,17896
2021-11-09,Poland,159447
2021-11-09,Portugal,40479
2021-11-09,Slovakia,61082
2021-11-09,Slovenia,10575
2021-11-09,Switzerland,36939
2021-11-09,Taiwan,16822
2021-11-09,Turkey,359560
2021-11-09,United Kingdom,839747
2021-11-09,United States,1385433
