Date,Country,NumberOfTest
2021-09-07,Australia,0
2021-09-07,Austria,338557
2021-09-07,Belgium,46725
2021-09-07,Canada,61717
2021-09-07,Chile,27369
2021-09-07,Colombia,51594
2021-09-07,Czechia,74046
2021-09-07,Estonia,5998
2021-09-07,Finland,20138
2021-09-07,Greece,110243
2021-09-07,Hungary,6801
2021-09-07,Iceland,2350
2021-09-07,Ireland,20284
2021-09-07,Israel,98031
2021-09-07,Italy,384899
2021-09-07,Japan,116508
2021-09-07,Luxembourg,4310
2021-09-07,Mexico,13833
2021-09-07,New Zealand,7255
2021-09-07,Poland,83845
2021-09-07,Portugal,43408
2021-09-07,Slovenia,5159
2021-09-07,South Korea,56003
2021-09-07,Switzerland,26834
2021-09-07,Taiwan,30310
2021-09-07,Turkey,304864
2021-09-07,United Kingdom,1143885
