Date,Country,NumberOfTest
2021-10-04,Australia,0
2021-10-04,Austria,287120
2021-10-04,Belgium,41615
2021-10-04,Canada,98451
2021-10-04,Chile,52355
2021-10-04,Colombia,42124
2021-10-04,Costa Rica,2983
2021-10-04,Czechia,67413
2021-10-04,Denmark,41845
2021-10-04,Estonia,6237
2021-10-04,Finland,10083
2021-10-04,France,512596
2021-10-04,Greece,74425
2021-10-04,Hungary,32255
2021-10-04,Iceland,1599
2021-10-04,Ireland,13777
2021-10-04,Israel,126693
2021-10-04,Italy,148283
2021-10-04,Japan,64378
2021-10-04,Lithuania,24155
2021-10-04,Luxembourg,1817
2021-10-04,Mexico,25046
2021-10-04,New Zealand,0
2021-10-04,Norway,13961
2021-10-04,Poland,66127
2021-10-04,Portugal,42263
2021-10-04,Slovakia,43814
2021-10-04,Slovenia,4787
2021-10-04,South Korea,0
2021-10-04,Switzerland,30668
2021-10-04,Taiwan,27723
2021-10-04,Turkey,352214
2021-10-04,United Kingdom,940981
2021-10-04,United States,1161907
