tDate,Country,NumberOfTest
2020-04-20,Australia,10738
2020-04-20,Austria,3705
2020-04-20,Belgium,11916
2020-04-20,Canada,33234
2020-04-20,Chile,5178
2020-04-20,Costa Rica,96
2020-04-20,Denmark,6642
2020-04-20,Estonia,1498
2020-04-20,Finland,1844
2020-04-20,Germany,0
2020-04-20,Greece,0
2020-04-20,Hungary,1704
2020-04-20,Iceland,688
2020-04-20,Ireland,1626
2020-04-20,Israel,15365
2020-04-20,Italy,49324
2020-04-20,Japan,6816
2020-04-20,Latvia,787
2020-04-20,Lithuania,3151
2020-04-20,Luxembourg,931
2020-04-20,Mexico,3713
2020-04-20,Netherlands,0
2020-04-20,New Zealand,5732
2020-04-20,Norway,3777
2020-04-20,Poland,9990
2020-04-20,Portugal,11089
2020-04-20,Slovakia,2694
2020-04-20,Slovenia,1174
2020-04-20,South Korea,4188
2020-04-20,Spain,0
2020-04-20,Taiwan,1835
2020-04-20,Turkey,39703
2020-04-20,United Kingdom,17365
2020-04-20,United States,160010
