Date,Country,NumberOfTest
2020-12-28,Australia,29427
2020-12-28,Austria,21246
2020-12-28,Belgium,29048
2020-12-28,Canada,299928
2020-12-28,Chile,23491
2020-12-28,Colombia,38229
2020-12-28,Costa Rica,1635
2020-12-28,Czechia,73764
2020-12-28,Denmark,112260
2020-12-28,Estonia,4462
2020-12-28,Finland,11621
2020-12-28,France,397738
2020-12-28,Germany,0
2020-12-28,Greece,7339
2020-12-28,Hungary,4647
2020-12-28,Iceland,977
2020-12-28,Ireland,9405
2020-12-28,Israel,100039
2020-12-28,Italy,98346
2020-12-28,Japan,74383
2020-12-28,Latvia,4437
2020-12-28,Lithuania,11671
2020-12-28,Luxembourg,7136
2020-12-28,Mexico,40234
2020-12-28,Netherlands,0
2020-12-28,New Zealand,0
2020-12-28,Norway,21779
2020-12-28,Poland,32578
2020-12-28,Portugal,34088
2020-12-28,Slovakia,89263
2020-12-28,Slovenia,5677
2020-12-28,South Korea,28993
2020-12-28,Spain,0
2020-12-28,Sweden,29221
2020-12-28,Switzerland,28918
2020-12-28,Taiwan,1017
2020-12-28,Turkey,180892
2020-12-28,United Kingdom,357238
2020-12-28,United States,1281368
