tDate,Country,NumberOfTest
2021-08-29,Australia,0
2021-08-29,Austria,332283
2021-08-29,Belgium,21229
2021-08-29,Canada,80653
2021-08-29,Chile,56139
2021-08-29,Colombia,49230
2021-08-29,Costa Rica,6061
2021-08-29,Czechia,40567
2021-08-29,Denmark,57652
2021-08-29,Estonia,2735
2021-08-29,Finland,17354
2021-08-29,France,168474
2021-08-29,Germany,0
2021-08-29,Greece,56515
2021-08-29,Hungary,0
2021-08-29,Iceland,1847
2021-08-29,Ireland,17919
2021-08-29,Israel,91283
2021-08-29,Italy,279207
2021-08-29,Japan,66549
2021-08-29,Lithuania,5915
2021-08-29,Luxembourg,201
2021-08-29,Mexico,8260
2021-08-29,Netherlands,0
2021-08-29,New Zealand,23139
2021-08-29,Norway,16579
2021-08-29,Poland,53316
2021-08-29,Portugal,21567
2021-08-29,Slovenia,888
2021-08-29,South Korea,13018
2021-08-29,Sweden,26075
2021-08-29,Switzerland,13804
2021-08-29,Taiwan,12956
2021-08-29,Turkey,286425
2021-08-29,United Kingdom,693955
2021-08-29,United States,458373
