Date,Country,NumberOfTest
2020-08-03,Australia,40529
2020-08-03,Austria,5123
2020-08-03,Belgium,16827
2020-08-03,Canada,95969
2020-08-03,Chile,24269
2020-08-03,Colombia,37531
2020-08-03,Costa Rica,1550
2020-08-03,Denmark,23844
2020-08-03,Estonia,808
2020-08-03,Finland,5250
2020-08-03,France,113443
2020-08-03,Germany,0
2020-08-03,Greece,19417
2020-08-03,Hungary,1965
2020-08-03,Iceland,767
2020-08-03,Ireland,3041
2020-08-03,Israel,23468
2020-08-03,Italy,37503
2020-08-03,Japan,25794
2020-08-03,Latvia,687
2020-08-03,Lithuania,2777
2020-08-03,Luxembourg,6162
2020-08-03,Mexico,14877
2020-08-03,Netherlands,0
2020-08-03,New Zealand,1702
2020-08-03,Norway,9327
2020-08-03,Poland,28854
2020-08-03,Portugal,14320
2020-08-03,Slovakia,1320
2020-08-03,Slovenia,890
2020-08-03,South Korea,3878
2020-08-03,Spain,0
2020-08-03,Sweden,7674
2020-08-03,Switzerland,6184
2020-08-03,Taiwan,273
2020-08-03,Turkey,41301
2020-08-03,United Kingdom,144999
2020-08-03,United States,776184
