tDate,Country,NumberOfTest
2020-09-02,Australia,63998
2020-09-02,Austria,17441
2020-09-02,Belgium,30069
2020-09-02,Canada,92989
2020-09-02,Chile,22746
2020-09-02,Colombia,26828
2020-09-02,Costa Rica,2119
2020-09-02,Czechia,11810
2020-09-02,Denmark,40019
2020-09-02,Estonia,2676
2020-09-02,Finland,17899
2020-09-02,France,195211
2020-09-02,Germany,0
2020-09-02,Greece,14154
2020-09-02,Hungary,7589
2020-09-02,Iceland,609
2020-09-02,Ireland,7301
2020-09-02,Israel,35980
2020-09-02,Italy,169141
2020-09-02,Japan,24123
2020-09-02,Latvia,2532
2020-09-02,Lithuania,4530
2020-09-02,Luxembourg,7553
2020-09-02,Mexico,16390
2020-09-02,Netherlands,0
2020-09-02,New Zealand,10523
2020-09-02,Norway,19200
2020-09-02,Poland,58521
2020-09-02,Portugal,18129
2020-09-02,Slovakia,3519
2020-09-02,Slovenia,1653
2020-09-02,South Korea,21210
2020-09-02,Spain,0
2020-09-02,Sweden,18027
2020-09-02,Switzerland,15895
2020-09-02,Taiwan,152
2020-09-02,Turkey,107927
2020-09-02,United Kingdom,196734
2020-09-02,United States,1025806
