tDate,Country,NumberOfTest
2021-09-01,Australia,259666
2021-09-01,Austria,282427
2021-09-01,Belgium,39386
2021-09-01,Canada,66004
2021-09-01,Chile,41971
2021-09-01,Colombia,47697
2021-09-01,Costa Rica,9530
2021-09-01,Czechia,90059
2021-09-01,Denmark,60594
2021-09-01,Estonia,4687
2021-09-01,Finland,32259
2021-09-01,France,571552
2021-09-01,Greece,108219
2021-09-01,Hungary,9695
2021-09-01,Iceland,3101
2021-09-01,Ireland,23972
2021-09-01,Israel,149426
2021-09-01,Italy,371768
2021-09-01,Japan,149209
2021-09-01,Lithuania,14311
2021-09-01,Luxembourg,4648
2021-09-01,Mexico,32326
2021-09-01,New Zealand,22158
2021-09-01,Norway,36080
2021-09-01,Poland,79740
2021-09-01,Portugal,48667
2021-09-01,Slovakia,7136
2021-09-01,Slovenia,3613
2021-09-01,South Korea,27690
2021-09-01,Sweden,33806
2021-09-01,Switzerland,30410
2021-09-01,Taiwan,25462
2021-09-01,Turkey,302869
2021-09-01,United Kingdom,1018868
2021-09-01,United States,1537670
