tDate,Country,NumberOfTest
2022-05-30,Australia,71853338
2022-05-30,Austria,187437282
2022-05-30,Belgium,34099305
2022-05-30,Canada,61988420
2022-05-30,Chile,38298161
2022-05-30,Colombia,0
2022-05-30,Czechia,54495271
2022-05-30,Denmark,64513529
2022-05-30,Estonia,3399381
2022-05-30,Finland,10937922
2022-05-30,France,274880250
2022-05-30,Greece,0
2022-05-30,Iceland,1351896
2022-05-30,Ireland,12228851
2022-05-30,Israel,51310379
2022-05-30,Italy,220866180
2022-05-30,Japan,50222644
2022-05-30,Latvia,7214912
2022-05-30,Lithuania,8701261
2022-05-30,Luxembourg,4268289
2022-05-30,Mexico,15336114
2022-05-30,Netherlands,30619792
2022-05-30,New Zealand,7183108
2022-05-30,Norway,11122318
2022-05-30,Portugal,42709728
2022-05-30,Slovakia,51178887
2022-05-30,Slovenia,5262925
2022-05-30,South Korea,48964720
2022-05-30,Spain,92188795
2022-05-30,Switzerland,21104853
2022-05-30,Taiwan,11177833
2022-05-30,Turkey,163035679
2022-05-30,United States,899346745
