Date,Country,NumberOfTest
2020-04-23,Australia,14218
2020-04-23,Austria,4041
2020-04-23,Belgium,17379
2020-04-23,Canada,46917
2020-04-23,Chile,6425
2020-04-23,Costa Rica,253
2020-04-23,Denmark,12459
2020-04-23,Estonia,1249
2020-04-23,Finland,3664
2020-04-23,Germany,0
2020-04-23,Greece,2249
2020-04-23,Hungary,2688
2020-04-23,Iceland,193
2020-04-23,Ireland,4871
2020-04-23,Israel,14183
2020-04-23,Italy,103741
2020-04-23,Japan,5349
2020-04-23,Latvia,1705
2020-04-23,Lithuania,7354
2020-04-23,Luxembourg,789
2020-04-23,Mexico,3647
2020-04-23,Netherlands,0
2020-04-23,New Zealand,6640
2020-04-23,Norway,2976
2020-04-23,Poland,11920
2020-04-23,Portugal,15183
2020-04-23,Slovakia,3840
2020-04-23,Slovenia,1510
2020-04-23,South Korea,7994
2020-04-23,Spain,0
2020-04-23,Taiwan,1014
2020-04-23,Turkey,40962
2020-04-23,United Kingdom,28024
2020-04-23,United States,232887
