Date,Country,NumberOfTest
2020-11-09,Australia,29026
2020-11-09,Austria,26376
2020-11-09,Belgium,22366
2020-11-09,Canada,139207
2020-11-09,Chile,37331
2020-11-09,Colombia,48464
2020-11-09,Costa Rica,867
2020-11-09,Czechia,31782
2020-11-09,Denmark,81330
2020-11-09,Estonia,4483
2020-11-09,Finland,11753
2020-11-09,France,390580
2020-11-09,Germany,0
2020-11-09,Greece,11321
2020-11-09,Hungary,16248
2020-11-09,Iceland,1264
2020-11-09,Ireland,9912
2020-11-09,Israel,35225
2020-11-09,Italy,236426
2020-11-09,Japan,25476
2020-11-09,Latvia,2398
2020-11-09,Lithuania,8996
2020-11-09,Luxembourg,10807
2020-11-09,Mexico,20035
2020-11-09,Netherlands,0
2020-11-09,New Zealand,3042
2020-11-09,Norway,31137
2020-11-09,Poland,85570
2020-11-09,Portugal,33352
2020-11-09,Slovakia,6820
2020-11-09,Slovenia,4457
2020-11-09,South Korea,6165
2020-11-09,Spain,0
2020-11-09,Sweden,37239
2020-11-09,Switzerland,27349
2020-11-09,Taiwan,320
2020-11-09,Turkey,145411
2020-11-09,United Kingdom,243245
2020-11-09,United States,1223322
