Date,Country,NumberOfTest
2020-09-11,Australia,0
2020-09-11,Austria,13789
2020-09-11,Belgium,38042
2020-09-11,Canada,132519
2020-09-11,Chile,34082
2020-09-11,Colombia,37755
2020-09-11,Costa Rica,3154
2020-09-11,Czechia,19217
2020-09-11,Denmark,50575
2020-09-11,Estonia,3008
2020-09-11,Finland,14441
2020-09-11,France,260554
2020-09-11,Germany,0
2020-09-11,Greece,0
2020-09-11,Hungary,11637
2020-09-11,Iceland,589
2020-09-11,Ireland,13073
2020-09-11,Israel,43702
2020-09-11,Italy,160302
2020-09-11,Japan,16479
2020-09-11,Latvia,2445
2020-09-11,Lithuania,5396
2020-09-11,Luxembourg,9972
2020-09-11,Mexico,14373
2020-09-11,Netherlands,0
2020-09-11,New Zealand,8915
2020-09-11,Norway,14987
2020-09-11,Poland,37358
2020-09-11,Portugal,22278
2020-09-11,Slovakia,6191
2020-09-11,Slovenia,3191
2020-09-11,South Korea,23215
2020-09-11,Spain,0
2020-09-11,Sweden,20382
2020-09-11,Switzerland,13996
2020-09-11,Taiwan,186
2020-09-11,Turkey,112213
2020-09-11,United Kingdom,241650
2020-09-11,United States,1098936
