Date,Country,NumberOfTest
2020-11-12,Australia,55862
2020-11-12,Austria,38226
2020-11-12,Belgium,28051
2020-11-12,Canada,155710
2020-11-12,Chile,35708
2020-11-12,Colombia,52784
2020-11-12,Costa Rica,2862
2020-11-12,Czechia,44456
2020-11-12,Denmark,74229
2020-11-12,Estonia,4802
2020-11-12,Finland,15852
2020-11-12,France,360551
2020-11-12,Germany,0
2020-11-12,Greece,28594
2020-11-12,Hungary,23521
2020-11-12,Iceland,822
2020-11-12,Ireland,13058
2020-11-12,Israel,40337
2020-11-12,Italy,368150
2020-11-12,Japan,29912
2020-11-12,Latvia,6833
2020-11-12,Lithuania,14143
2020-11-12,Luxembourg,12427
2020-11-12,Mexico,18303
2020-11-12,Netherlands,0
2020-11-12,New Zealand,6581
2020-11-12,Norway,23685
2020-11-12,Poland,113597
2020-11-12,Portugal,44419
2020-11-12,Slovakia,10736
2020-11-12,Slovenia,5762
2020-11-12,South Korea,12642
2020-11-12,Spain,0
2020-11-12,Sweden,37239
2020-11-12,Switzerland,30586
2020-11-12,Taiwan,380
2020-11-12,Turkey,148482
2020-11-12,United Kingdom,379955
2020-11-12,United States,1852123
