Date,Country,NumberOfTest
2021-06-08,Australia,55734
2021-06-08,Austria,412011
2021-06-08,Belgium,49433
2021-06-08,Canada,47048
2021-06-08,Chile,49496
2021-06-08,Colombia,64325
2021-06-08,Costa Rica,6393
2021-06-08,Czechia,183446
2021-06-08,Denmark,106149
2021-06-08,Estonia,3944
2021-06-08,Finland,14554
2021-06-08,France,326279
2021-06-08,Greece,55912
2021-06-08,Hungary,5878
2021-06-08,Israel,24748
2021-06-08,Italy,281306
2021-06-08,Japan,62141
2021-06-08,Latvia,12773
2021-06-08,Lithuania,24759
2021-06-08,Luxembourg,6288
2021-06-08,Mexico,14992
2021-06-08,New Zealand,0
2021-06-08,Norway,17035
2021-06-08,Poland,128100
2021-06-08,Portugal,53296
2021-06-08,Slovakia,49712
2021-06-08,Slovenia,3507
2021-06-08,South Korea,33553
2021-06-08,Spain,0
2021-06-08,Switzerland,21254
2021-06-08,Taiwan,31129
2021-06-08,Turkey,225527
2021-06-08,United Kingdom,727274
2021-06-08,United States,651284
