Date,Country,NumberOfTest
2021-05-05,Australia,53237
2021-05-05,Austria,347639
2021-05-05,Belgium,60090
2021-05-05,Canada,118179
2021-05-05,Chile,30531
2021-05-05,Colombia,66469
2021-05-05,Costa Rica,7210
2021-05-05,Czechia,247872
2021-05-05,Denmark,196365
2021-05-05,Estonia,4431
2021-05-05,Finland,23311
2021-05-05,France,354362
2021-05-05,Germany,0
2021-05-05,Greece,33958
2021-05-05,Hungary,16516
2021-05-05,Iceland,1241
2021-05-05,Ireland,19543
2021-05-05,Israel,40602
2021-05-05,Italy,441526
2021-05-05,Japan,67085
2021-05-05,Latvia,3883
2021-05-05,Lithuania,26131
2021-05-05,Luxembourg,8651
2021-05-05,Mexico,15749
2021-05-05,Netherlands,0
2021-05-05,New Zealand,5424
2021-05-05,Norway,22747
2021-05-05,Poland,111700
2021-05-05,Portugal,49255
2021-05-05,Slovakia,98660
2021-05-05,Slovenia,4228
2021-05-05,South Korea,36015
2021-05-05,Spain,0
2021-05-05,Sweden,51085
2021-05-05,Switzerland,28481
2021-05-05,Taiwan,1094
2021-05-05,Turkey,229491
2021-05-05,United Kingdom,1214689
2021-05-05,United States,1518558
