tDate,Country,NumberOfTest
2022-05-15,Australia,70597113
2022-05-15,Austria,185034905
2022-05-15,Belgium,33906821
2022-05-15,Canada,61498258
2022-05-15,Chile,37452483
2022-05-15,Colombia,0
2022-05-15,Costa Rica,3516130
2022-05-15,Czechia,54412677
2022-05-15,Denmark,64429684
2022-05-15,Estonia,3376886
2022-05-15,Finland,10863325
2022-05-15,France,272560208
2022-05-15,Germany,128874570
2022-05-15,Greece,0
2022-05-15,Iceland,1333108
2022-05-15,Ireland,12154259
2022-05-15,Israel,50852107
2022-05-15,Italy,217853667
2022-05-15,Japan,48388720
2022-05-15,Latvia,7178243
2022-05-15,Lithuania,8682521
2022-05-15,Luxembourg,4251203
2022-05-15,Mexico,15220100
2022-05-15,Netherlands,30596050
2022-05-15,New Zealand,0
2022-05-15,Norway,11103170
2022-05-15,Portugal,41925228
2022-05-15,Slovenia,5195198
2022-05-15,South Korea,47184201
2022-05-15,Spain,91311646
2022-05-15,Sweden,18324614
2022-05-15,Switzerland,20984042
2022-05-15,Taiwan,9649620
2022-05-15,Turkey,161034112
2022-05-15,United Kingdom,502057183
2022-05-15,United States,886185275
