Date,Country,NumberOfTest
2021-07-22,Australia,0
2021-07-22,Austria,339761
2021-07-22,Belgium,69932
2021-07-22,Canada,60025
2021-07-22,Chile,67555
2021-07-22,Colombia,89230
2021-07-22,Czechia,112803
2021-07-22,Denmark,82670
2021-07-22,Estonia,2839
2021-07-22,Finland,18710
2021-07-22,France,494703
2021-07-22,Greece,84624
2021-07-22,Hungary,6641
2021-07-22,Iceland,3585
2021-07-22,Israel,78711
2021-07-22,Italy,276567
2021-07-22,Japan,37605
2021-07-22,Latvia,6779
2021-07-22,Lithuania,9929
2021-07-22,Luxembourg,7194
2021-07-22,Mexico,33714
2021-07-22,New Zealand,0
2021-07-22,Norway,13281
2021-07-22,Poland,74624
2021-07-22,Portugal,72980
2021-07-22,Slovakia,15078
2021-07-22,Slovenia,1641
2021-07-22,South Korea,0
2021-07-22,Switzerland,28757
2021-07-22,Taiwan,19601
2021-07-22,United Kingdom,1013261
2021-07-22,United States,569974
