Date,Country,NumberOfTest
2020-12-17,Australia,28715
2020-12-17,Austria,28216
2020-12-17,Belgium,46288
2020-12-17,Canada,248410
2020-12-17,Chile,40061
2020-12-17,Colombia,63698
2020-12-17,Costa Rica,3046
2020-12-17,Czechia,49935
2020-12-17,Denmark,133887
2020-12-17,Estonia,6278
2020-12-17,Finland,20440
2020-12-17,France,399342
2020-12-17,Germany,0
2020-12-17,Greece,33509
2020-12-17,Hungary,18362
2020-12-17,Iceland,1008
2020-12-17,Ireland,13219
2020-12-17,Israel,80668
2020-12-17,Italy,33268
2020-12-17,Japan,62439
2020-12-17,Latvia,10344
2020-12-17,Lithuania,16450
2020-12-17,Luxembourg,13012
2020-12-17,Mexico,32688
2020-12-17,Netherlands,0
2020-12-17,New Zealand,0
2020-12-17,Norway,23964
2020-12-17,Poland,73028
2020-12-17,Portugal,42711
2020-12-17,Slovakia,86063
2020-12-17,Slovenia,5862
2020-12-17,South Korea,45597
2020-12-17,Spain,0
2020-12-17,Sweden,43821
2020-12-17,Switzerland,43749
2020-12-17,Taiwan,790
2020-12-17,Turkey,206102
2020-12-17,United Kingdom,375185
2020-12-17,United States,2042108
