tDate,Country,NumberOfTest
2022-01-12,Australia,288897
2022-01-12,Austria,1469988
2022-01-12,Canada,167710
2022-01-12,Chile,59038
2022-01-12,Colombia,131614
2022-01-12,Czechia,77910
2022-01-12,Estonia,9276
2022-01-12,Greece,350180
2022-01-12,Hungary,18299
2022-01-12,Ireland,40655
2022-01-12,Israel,431732
2022-01-12,Italy,1190567
2022-01-12,Japan,128248
2022-01-12,Latvia,14053
2022-01-12,Lithuania,25605
2022-01-12,New Zealand,0
2022-01-12,Poland,192682
2022-01-12,Slovakia,29951
2022-01-12,Slovenia,13335
2022-01-12,Switzerland,73618
2022-01-12,Taiwan,13796
2022-01-12,Turkey,422028
