Date,Country,NumberOfTest
2021-01-11,Australia,77697
2021-01-11,Austria,14089
2021-01-11,Belgium,44040
2021-01-11,Canada,222876
2021-01-11,Chile,57438
2021-01-11,Colombia,43086
2021-01-11,Costa Rica,1259
2021-01-11,Czechia,84144
2021-01-11,Denmark,82711
2021-01-11,Estonia,3952
2021-01-11,Finland,9375
2021-01-11,France,396962
2021-01-11,Germany,0
2021-01-11,Greece,16670
2021-01-11,Hungary,12567
2021-01-11,Iceland,1132
2021-01-11,Ireland,19794
2021-01-11,Israel,126327
2021-01-11,Italy,134209
2021-01-11,Japan,19942
2021-01-11,Latvia,4179
2021-01-11,Lithuania,10061
2021-01-11,Luxembourg,10406
2021-01-11,Mexico,48602
2021-01-11,Netherlands,0
2021-01-11,New Zealand,2717
2021-01-11,Norway,32575
2021-01-11,Poland,41386
2021-01-11,Portugal,47696
2021-01-11,Slovakia,100748
2021-01-11,Slovenia,5512
2021-01-11,South Korea,29912
2021-01-11,Spain,0
2021-01-11,Sweden,29567
2021-01-11,Switzerland,27517
2021-01-11,Taiwan,986
2021-01-11,Turkey,180303
2021-01-11,United Kingdom,536947
2021-01-11,United States,1514567
