tDate,Country,NumberOfTest
2021-03-08,Australia,0
2021-03-08,Austria,122080
2021-03-08,Belgium,43963
2021-03-08,Canada,96855
2021-03-08,Chile,62007
2021-03-08,Colombia,31358
2021-03-08,Costa Rica,1859
2021-03-08,Czechia,200575
2021-03-08,Denmark,170437
2021-03-08,Estonia,6863
2021-03-08,Finland,21635
2021-03-08,France,427662
2021-03-08,Germany,0
2021-03-08,Greece,19025
2021-03-08,Hungary,23890
2021-03-08,Iceland,1902
2021-03-08,Ireland,10682
2021-03-08,Israel,98941
2021-03-08,Italy,244233
2021-03-08,Japan,67917
2021-03-08,Latvia,3214
2021-03-08,Lithuania,8539
2021-03-08,Luxembourg,8792
2021-03-08,Mexico,26699
2021-03-08,Netherlands,0
2021-03-08,New Zealand,3965
2021-03-08,Norway,35909
2021-03-08,Poland,62967
2021-03-08,Portugal,25303
2021-03-08,Slovakia,273787
2021-03-08,Slovenia,4700
2021-03-08,South Korea,17685
2021-03-08,Spain,0
2021-03-08,Sweden,39611
2021-03-08,Switzerland,31292
2021-03-08,Taiwan,1093
2021-03-08,Turkey,139429
2021-03-08,United Kingdom,1529525
2021-03-08,United States,975275
