tDate,Country,NumberOfTest
2021-05-29,Australia,0
2021-05-29,Austria,435113
2021-05-29,Belgium,37451
2021-05-29,Canada,100197
2021-05-29,Chile,74580
2021-05-29,Colombia,86214
2021-05-29,Costa Rica,6856
2021-05-29,Czechia,54938
2021-05-29,Denmark,94191
2021-05-29,Estonia,3217
2021-05-29,Finland,12137
2021-05-29,France,228759
2021-05-29,Germany,0
2021-05-29,Greece,50467
2021-05-29,Hungary,14945
2021-05-29,Israel,10137
2021-05-29,Italy,316505
2021-05-29,Japan,57084
2021-05-29,Latvia,10929
2021-05-29,Lithuania,9522
2021-05-29,Luxembourg,5930
2021-05-29,Mexico,5290
2021-05-29,Netherlands,0
2021-05-29,New Zealand,0
2021-05-29,Norway,8842
2021-05-29,Poland,122686
2021-05-29,Portugal,43293
2021-05-29,Slovakia,86819
2021-05-29,Slovenia,1854
2021-05-29,South Korea,30217
2021-05-29,Spain,0
2021-05-29,Sweden,32800
2021-05-29,Switzerland,17851
2021-05-29,Taiwan,16143
2021-05-29,Turkey,222613
2021-05-29,United Kingdom,488274
2021-05-29,United States,566504
