Date,Country,NumberOfTest
2021-01-08,Australia,0
2021-01-08,Austria,23605
2021-01-08,Belgium,46443
2021-01-08,Canada,265474
2021-01-08,Chile,54041
2021-01-08,Colombia,66675
2021-01-08,Costa Rica,2981
2021-01-08,Czechia,69657
2021-01-08,Denmark,76570
2021-01-08,Estonia,5422
2021-01-08,Finland,13740
2021-01-08,France,350028
2021-01-08,Germany,0
2021-01-08,Greece,36458
2021-01-08,Hungary,24024
2021-01-08,Iceland,702
2021-01-08,Ireland,27319
2021-01-08,Israel,116982
2021-01-08,Italy,197125
2021-01-08,Japan,63373
2021-01-08,Latvia,12799
2021-01-08,Lithuania,13831
2021-01-08,Luxembourg,12485
2021-01-08,Mexico,43911
2021-01-08,Netherlands,0
2021-01-08,New Zealand,0
2021-01-08,Norway,27642
2021-01-08,Poland,100354
2021-01-08,Portugal,56216
2021-01-08,Slovakia,107457
2021-01-08,Slovenia,4895
2021-01-08,South Korea,61505
2021-01-08,Spain,0
2021-01-08,Sweden,30475
2021-01-08,Switzerland,26560
2021-01-08,Taiwan,598
2021-01-08,Turkey,184193
2021-01-08,United Kingdom,680215
2021-01-08,United States,2143141
