Date,Country,NumberOfTest
2020-04-30,Australia,19231
2020-04-30,Austria,8645
2020-04-30,Belgium,24870
2020-04-30,Canada,54614
2020-04-30,Chile,7898
2020-04-30,Costa Rica,109
2020-04-30,Denmark,15935
2020-04-30,Estonia,1352
2020-04-30,Finland,4179
2020-04-30,Germany,0
2020-04-30,Greece,3040
2020-04-30,Hungary,2651
2020-04-30,Iceland,722
2020-04-30,Ireland,8218
2020-04-30,Israel,9930
2020-04-30,Italy,109897
2020-04-30,Japan,8126
2020-04-30,Latvia,3075
2020-04-30,Lithuania,7638
2020-04-30,Luxembourg,1962
2020-04-30,Mexico,5203
2020-04-30,Netherlands,0
2020-04-30,New Zealand,5474
2020-04-30,Norway,4439
2020-04-30,Poland,26009
2020-04-30,Portugal,16438
2020-04-30,Slovakia,5150
2020-04-30,Slovenia,1382
2020-04-30,South Korea,0
2020-04-30,Spain,0
2020-04-30,Taiwan,495
2020-04-30,Turkey,42004
2020-04-30,United Kingdom,83143
2020-04-30,United States,322418
