tDate,Country,NumberOfTest
2020-06-05,Australia,32863
2020-06-05,Austria,7983
2020-06-05,Belgium,13083
2020-06-05,Canada,80587
2020-06-05,Chile,22098
2020-06-05,Colombia,0
2020-06-05,Costa Rica,443
2020-06-05,Denmark,9680
2020-06-05,Estonia,1039
2020-06-05,Finland,2321
2020-06-05,France,46753
2020-06-05,Germany,0
2020-06-05,Greece,0
2020-06-05,Hungary,6712
2020-06-05,Iceland,538
2020-06-05,Ireland,3234
2020-06-05,Israel,16474
2020-06-05,Italy,105498
2020-06-05,Japan,4939
2020-06-05,Latvia,1010
2020-06-05,Lithuania,4790
2020-06-05,Luxembourg,2866
2020-06-05,Mexico,10742
2020-06-05,Netherlands,0
2020-06-05,New Zealand,2993
2020-06-05,Norway,2935
2020-06-05,Poland,39743
2020-06-05,Portugal,15309
2020-06-05,Slovakia,2639
2020-06-05,Slovenia,715
2020-06-05,South Korea,16535
2020-06-05,Spain,0
2020-06-05,Switzerland,4799
2020-06-05,Taiwan,184
2020-06-05,Turkey,57829
2020-06-05,United Kingdom,101961
2020-06-05,United States,572550
