tDate,Country,NumberOfTest
2021-03-29,Australia,45086
2021-03-29,Austria,154788
2021-03-29,Belgium,56513
2021-03-29,Canada,108493
2021-03-29,Chile,75958
2021-03-29,Colombia,42928
2021-03-29,Costa Rica,2611
2021-03-29,Czechia,285154
2021-03-29,Denmark,187581
2021-03-29,Estonia,6618
2021-03-29,Finland,18258
2021-03-29,France,687426
2021-03-29,Germany,0
2021-03-29,Greece,15607
2021-03-29,Hungary,42479
2021-03-29,Iceland,2452
2021-03-29,Ireland,13507
2021-03-29,Israel,42369
2021-03-29,Italy,211453
2021-03-29,Japan,72179
2021-03-29,Latvia,3517
2021-03-29,Lithuania,11862
2021-03-29,Luxembourg,10249
2021-03-29,Mexico,23384
2021-03-29,Netherlands,0
2021-03-29,New Zealand,2750
2021-03-29,Norway,30281
2021-03-29,Poland,109128
2021-03-29,Portugal,30192
2021-03-29,Slovakia,245974
2021-03-29,Slovenia,5513
2021-03-29,South Korea,20402
2021-03-29,Spain,0
2021-03-29,Sweden,46403
2021-03-29,Switzerland,39140
2021-03-29,Taiwan,851
2021-03-29,Turkey,225511
2021-03-29,United Kingdom,972317
2021-03-29,United States,1004122
