Date,Country,NumberOfTest
2020-11-06,Australia,0
2020-11-06,Austria,33067
2020-11-06,Belgium,39364
2020-11-06,Canada,160289
2020-11-06,Chile,40493
2020-11-06,Colombia,62426
2020-11-06,Costa Rica,2473
2020-11-06,Czechia,40888
2020-11-06,Denmark,69486
2020-11-06,Estonia,4894
2020-11-06,Finland,15128
2020-11-06,France,376705
2020-11-06,Germany,0
2020-11-06,Greece,29590
2020-11-06,Hungary,20025
2020-11-06,Iceland,1485
2020-11-06,Ireland,11815
2020-11-06,Israel,31589
2020-11-06,Italy,368811
2020-11-06,Japan,28237
2020-11-06,Latvia,7018
2020-11-06,Lithuania,14451
2020-11-06,Luxembourg,13012
2020-11-06,Mexico,16689
2020-11-06,Netherlands,0
2020-11-06,New Zealand,0
2020-11-06,Norway,27391
2020-11-06,Poland,157170
2020-11-06,Portugal,42587
2020-11-06,Slovakia,15767
2020-11-06,Slovenia,6340
2020-11-06,South Korea,12041
2020-11-06,Spain,0
2020-11-06,Sweden,33414
2020-11-06,Switzerland,32594
2020-11-06,Taiwan,394
2020-11-06,Turkey,145241
2020-11-06,United Kingdom,355032
2020-11-06,United States,1676648
