Date,Country,NumberOfTest
2020-05-22,Australia,32998
2020-05-22,Austria,4851
2020-05-22,Belgium,13278
2020-05-22,Canada,53596
2020-05-22,Chile,16090
2020-05-22,Costa Rica,486
2020-05-22,Denmark,12316
2020-05-22,Estonia,846
2020-05-22,Finland,2216
2020-05-22,France,50906
2020-05-22,Germany,0
2020-05-22,Greece,3880
2020-05-22,Hungary,8290
2020-05-22,Iceland,491
2020-05-22,Ireland,5373
2020-05-22,Israel,4995
2020-05-22,Italy,118367
2020-05-22,Japan,3495
2020-05-22,Latvia,1745
2020-05-22,Lithuania,5123
2020-05-22,Luxembourg,1197
2020-05-22,Mexico,8707
2020-05-22,Netherlands,0
2020-05-22,New Zealand,4727
2020-05-22,Norway,3349
2020-05-22,Poland,43618
2020-05-22,Portugal,15184
2020-05-22,Slovakia,2236
2020-05-22,Slovenia,677
2020-05-22,South Korea,11537
2020-05-22,Spain,0
2020-05-22,Taiwan,187
2020-05-22,Turkey,37507
2020-05-22,United Kingdom,91196
2020-05-22,United States,491220
