tDate,Country,NumberOfTest
2021-05-02,Australia,0
2021-05-02,Austria,155568
2021-05-02,Belgium,20971
2021-05-02,Canada,126896
2021-05-02,Chile,66725
2021-05-02,Colombia,56178
2021-05-02,Costa Rica,5749
2021-05-02,Czechia,73179
2021-05-02,Denmark,151394
2021-05-02,Estonia,2936
2021-05-02,Finland,9296
2021-05-02,France,58017
2021-05-02,Germany,0
2021-05-02,Greece,0
2021-05-02,Hungary,21331
2021-05-02,Iceland,759
2021-05-02,Ireland,18027
2021-05-02,Israel,28853
2021-05-02,Italy,220427
2021-05-02,Japan,36217
2021-05-02,Latvia,3578
2021-05-02,Lithuania,9937
2021-05-02,Luxembourg,325
2021-05-02,Mexico,3965
2021-05-02,Netherlands,0
2021-05-02,New Zealand,0
2021-05-02,Norway,9671
2021-05-02,Poland,86231
2021-05-02,Portugal,17140
2021-05-02,Slovakia,285661
2021-05-02,Slovenia,1380
2021-05-02,South Korea,13451
2021-05-02,Spain,0
2021-05-02,Sweden,49375
2021-05-02,Switzerland,10341
2021-05-02,Taiwan,418
2021-05-02,Turkey,240145
2021-05-02,United Kingdom,832918
2021-05-02,United States,519891
