Date,Country,NumberOfTest
2020-05-02,Australia,22715
2020-05-02,Austria,5540
2020-05-02,Belgium,16482
2020-05-02,Canada,63558
2020-05-02,Chile,9967
2020-05-02,Costa Rica,91
2020-05-02,Denmark,11149
2020-05-02,Estonia,853
2020-05-02,Finland,1483
2020-05-02,Germany,0
2020-05-02,Greece,956
2020-05-02,Hungary,3220
2020-05-02,Iceland,404
2020-05-02,Ireland,12076
2020-05-02,Israel,5568
2020-05-02,Italy,86643
2020-05-02,Japan,880
2020-05-02,Latvia,1982
2020-05-02,Lithuania,2712
2020-05-02,Luxembourg,694
2020-05-02,Mexico,2950
2020-05-02,Netherlands,0
2020-05-02,New Zealand,2803
2020-05-02,Norway,1555
2020-05-02,Poland,21998
2020-05-02,Portugal,10583
2020-05-02,Slovakia,1450
2020-05-02,Slovenia,535
2020-05-02,South Korea,4682
2020-05-02,Spain,0
2020-05-02,Taiwan,380
2020-05-02,Turkey,36318
2020-05-02,United Kingdom,63559
2020-05-02,United States,268231
