tDate,Country,NumberOfTest
2020-08-29,Australia,0
2020-08-29,Austria,12799
2020-08-29,Belgium,19052
2020-08-29,Canada,115478
2020-08-29,Chile,32237
2020-08-29,Colombia,30398
2020-08-29,Costa Rica,2633
2020-08-29,Denmark,25184
2020-08-29,Estonia,814
2020-08-29,Finland,15175
2020-08-29,France,84891
2020-08-29,Germany,0
2020-08-29,Greece,13737
2020-08-29,Hungary,3245
2020-08-29,Iceland,360
2020-08-29,Ireland,9940
2020-08-29,Israel,10708
2020-08-29,Italy,163402
2020-08-29,Japan,12915
2020-08-29,Latvia,2065
2020-08-29,Lithuania,2791
2020-08-29,Luxembourg,6613
2020-08-29,Mexico,7606
2020-08-29,Netherlands,0
2020-08-29,New Zealand,10500
2020-08-29,Norway,6399
2020-08-29,Poland,42946
2020-08-29,Portugal,12050
2020-08-29,Slovakia,1951
2020-08-29,Slovenia,769
2020-08-29,South Korea,18277
2020-08-29,Spain,0
2020-08-29,Sweden,12151
2020-08-29,Switzerland,8362
2020-08-29,Taiwan,148
2020-08-29,Turkey,101414
2020-08-29,United Kingdom,180033
2020-08-29,United States,798009
