tDate,Country,NumberOfTest
2020-11-11,Australia,52406
2020-11-11,Austria,31571
2020-11-11,Belgium,31789
2020-11-11,Canada,123696
2020-11-11,Chile,22148
2020-11-11,Colombia,48623
2020-11-11,Costa Rica,2606
2020-11-11,Czechia,47156
2020-11-11,Denmark,76243
2020-11-11,Estonia,5264
2020-11-11,Finland,16387
2020-11-11,France,50678
2020-11-11,Germany,0
2020-11-11,Greece,29190
2020-11-11,Hungary,20987
2020-11-11,Iceland,865
2020-11-11,Ireland,10790
2020-11-11,Israel,40488
2020-11-11,Italy,352050
2020-11-11,Japan,33681
2020-11-11,Latvia,7621
2020-11-11,Lithuania,12376
2020-11-11,Luxembourg,11429
2020-11-11,Mexico,18874
2020-11-11,Netherlands,0
2020-11-11,New Zealand,5995
2020-11-11,Norway,23879
2020-11-11,Poland,105293
2020-11-11,Portugal,43837
2020-11-11,Slovakia,12584
2020-11-11,Slovenia,6767
2020-11-11,South Korea,11741
2020-11-11,Spain,0
2020-11-11,Sweden,37239
2020-11-11,Switzerland,31359
2020-11-11,Taiwan,287
2020-11-11,Turkey,145989
2020-11-11,United Kingdom,377608
2020-11-11,United States,1790045
