tDate,Country,NumberOfTest
2021-01-17,Australia,0
2021-01-17,Austria,52039
2021-01-17,Belgium,16770
2021-01-17,Canada,222323
2021-01-17,Chile,68458
2021-01-17,Colombia,51586
2021-01-17,Costa Rica,1619
2021-01-17,Czechia,17631
2021-01-17,Denmark,75273
2021-01-17,Estonia,2735
2021-01-17,Finland,5160
2021-01-17,France,44619
2021-01-17,Germany,0
2021-01-17,Greece,10795
2021-01-17,Hungary,17275
2021-01-17,Iceland,307
2021-01-17,Ireland,21441
2021-01-17,Israel,64475
2021-01-17,Italy,277681
2021-01-17,Japan,16038
2021-01-17,Latvia,6576
2021-01-17,Lithuania,3959
2021-01-17,Luxembourg,653
2021-01-17,Mexico,9697
2021-01-17,Netherlands,0
2021-01-17,New Zealand,0
2021-01-17,Norway,8639
2021-01-17,Poland,110002
2021-01-17,Portugal,31199
2021-01-17,Slovakia,49196
2021-01-17,Slovenia,1404
2021-01-17,South Korea,25274
2021-01-17,Spain,0
2021-01-17,Sweden,29567
2021-01-17,Switzerland,7919
2021-01-17,Taiwan,449
2021-01-17,Turkey,148636
2021-01-17,United Kingdom,417329
2021-01-17,United States,1065437
