Date,Country,NumberOfTest
2020-07-31,Australia,0
2020-07-31,Austria,10425
2020-07-31,Belgium,21530
2020-07-31,Canada,116094
2020-07-31,Chile,22874
2020-07-31,Colombia,36062
2020-07-31,Costa Rica,1744
2020-07-31,Denmark,19915
2020-07-31,Estonia,645
2020-07-31,Finland,5555
2020-07-31,France,110211
2020-07-31,Germany,0
2020-07-31,Greece,0
2020-07-31,Hungary,2702
2020-07-31,Iceland,1324
2020-07-31,Ireland,3856
2020-07-31,Israel,22898
2020-07-31,Italy,90630
2020-07-31,Japan,17354
2020-07-31,Latvia,1473
2020-07-31,Lithuania,4930
2020-07-31,Luxembourg,8597
2020-07-31,Mexico,14293
2020-07-31,Netherlands,0
2020-07-31,New Zealand,3077
2020-07-31,Norway,5474
2020-07-31,Poland,57521
2020-07-31,Portugal,15411
2020-07-31,Slovakia,2884
2020-07-31,Slovenia,892
2020-07-31,South Korea,8269
2020-07-31,Spain,0
2020-07-31,Sweden,7566
2020-07-31,Switzerland,5686
2020-07-31,Taiwan,235
2020-07-31,Turkey,46492
2020-07-31,United Kingdom,164748
2020-07-31,United States,989757
