Date,Country,NumberOfTest
2020-07-30,Australia,66205
2020-07-30,Austria,9434
2020-07-30,Belgium,26134
2020-07-30,Canada,106495
2020-07-30,Chile,20295
2020-07-30,Colombia,35599
2020-07-30,Costa Rica,1840
2020-07-30,Denmark,20541
2020-07-30,Estonia,772
2020-07-30,Finland,5635
2020-07-30,France,105728
2020-07-30,Germany,0
2020-07-30,Greece,8458
2020-07-30,Hungary,3015
2020-07-30,Iceland,1138
2020-07-30,Ireland,4383
2020-07-30,Israel,21962
2020-07-30,Italy,95254
2020-07-30,Japan,19687
2020-07-30,Latvia,1704
2020-07-30,Lithuania,5055
2020-07-30,Luxembourg,9658
2020-07-30,Mexico,15270
2020-07-30,Netherlands,0
2020-07-30,New Zealand,2396
2020-07-30,Norway,5567
2020-07-30,Poland,45172
2020-07-30,Portugal,14738
2020-07-30,Slovakia,2176
2020-07-30,Slovenia,917
2020-07-30,South Korea,9216
2020-07-30,Spain,0
2020-07-30,Sweden,7566
2020-07-30,Switzerland,7050
2020-07-30,Taiwan,203
2020-07-30,Turkey,43236
2020-07-30,United Kingdom,170027
2020-07-30,United States,1037661
