Date,Country,NumberOfTest
2021-06-19,Australia,0
2021-06-19,Austria,480332
2021-06-19,Belgium,31616
2021-06-19,Canada,52142
2021-06-19,Chile,70903
2021-06-19,Colombia,101219
2021-06-19,Costa Rica,7915
2021-06-19,Czechia,47620
2021-06-19,Denmark,50923
2021-06-19,Estonia,2911
2021-06-19,Finland,8785
2021-06-19,France,203908
2021-06-19,Germany,0
2021-06-19,Greece,40746
2021-06-19,Hungary,0
2021-06-19,Israel,18669
2021-06-19,Italy,305487
2021-06-19,Japan,43013
2021-06-19,Latvia,8381
2021-06-19,Lithuania,7544
2021-06-19,Luxembourg,5674
2021-06-19,Mexico,6392
2021-06-19,Netherlands,0
2021-06-19,New Zealand,0
2021-06-19,Norway,9470
2021-06-19,Poland,103211
2021-06-19,Portugal,47004
2021-06-19,Slovakia,49563
2021-06-19,Slovenia,1059
2021-06-19,South Korea,26222
2021-06-19,Sweden,21588
2021-06-19,Switzerland,16260
2021-06-19,Taiwan,18673
2021-06-19,Turkey,215496
2021-06-19,United Kingdom,591871
2021-06-19,United States,412129
