tDate,Country,NumberOfTest
2020-06-16,Australia,20198
2020-06-16,Austria,5030
2020-06-16,Belgium,15194
2020-06-16,Canada,70874
2020-06-16,Chile,14575
2020-06-16,Colombia,12380
2020-06-16,Costa Rica,278
2020-06-16,Denmark,18209
2020-06-16,Estonia,1775
2020-06-16,Finland,2991
2020-06-16,France,43055
2020-06-16,Germany,0
2020-06-16,Greece,4882
2020-06-16,Hungary,1451
2020-06-16,Iceland,176
2020-06-16,Ireland,2112
2020-06-16,Israel,16239
2020-06-16,Italy,74644
2020-06-16,Japan,4462
2020-06-16,Latvia,1691
2020-06-16,Lithuania,5800
2020-06-16,Luxembourg,4837
2020-06-16,Mexico,12800
2020-06-16,Netherlands,0
2020-06-16,New Zealand,3567
2020-06-16,Norway,5458
2020-06-16,Poland,35512
2020-06-16,Portugal,14765
2020-06-16,Slovakia,1163
2020-06-16,Slovenia,986
2020-06-16,South Korea,12209
2020-06-16,Spain,0
2020-06-16,Switzerland,9928
2020-06-16,Taiwan,147
2020-06-16,Turkey,46800
2020-06-16,United Kingdom,80862
2020-06-16,United States,672504
