Date,Country,NumberOfTest
2021-10-12,Australia,179079
2021-10-12,Austria,351804
2021-10-12,Belgium,59828
2021-10-12,Canada,69946
2021-10-12,Chile,28616
2021-10-12,Colombia,41685
2021-10-12,Costa Rica,5054
2021-10-12,Czechia,58692
2021-10-12,Denmark,53787
2021-10-12,Estonia,7341
2021-10-12,Finland,15297
2021-10-12,France,444960
2021-10-12,Germany,0
2021-10-12,Greece,370435
2021-10-12,Hungary,8102
2021-10-12,Iceland,1308
2021-10-12,Ireland,17930
2021-10-12,Israel,111764
2021-10-12,Italy,369131
2021-10-12,Japan,58142
2021-10-12,Latvia,15630
2021-10-12,Lithuania,26202
2021-10-12,Luxembourg,3073
2021-10-12,Mexico,23338
2021-10-12,Netherlands,0
2021-10-12,New Zealand,16565
2021-10-12,Norway,8813
2021-10-12,Poland,87121
2021-10-12,Portugal,69978
2021-10-12,Slovakia,42110
2021-10-12,Slovenia,5692
2021-10-12,South Korea,0
2021-10-12,Spain,0
2021-10-12,Sweden,20562
2021-10-12,Switzerland,24943
2021-10-12,Taiwan,25900
2021-10-12,Turkey,357636
2021-10-12,United Kingdom,873498
2021-10-12,United States,1632121
