Date,Country,NumberOfTest
2020-05-01,Australia,25227
2020-05-01,Austria,7680
2020-05-01,Belgium,23551
2020-05-01,Canada,61148
2020-05-01,Chile,8916
2020-05-01,Costa Rica,167
2020-05-01,Denmark,14432
2020-05-01,Estonia,775
2020-05-01,Finland,3375
2020-05-01,Germany,0
2020-05-01,Greece,2081
2020-05-01,Hungary,3380
2020-05-01,Iceland,867
2020-05-01,Ireland,7451
2020-05-01,Israel,11053
2020-05-01,Italy,117940
2020-05-01,Japan,6820
2020-05-01,Latvia,3234
2020-05-01,Lithuania,7080
2020-05-01,Luxembourg,1392
2020-05-01,Mexico,3259
2020-05-01,Netherlands,0
2020-05-01,New Zealand,5653
2020-05-01,Norway,1512
2020-05-01,Poland,32252
2020-05-01,Portugal,12673
2020-05-01,Slovakia,3698
2020-05-01,Slovenia,771
2020-05-01,South Korea,0
2020-05-01,Spain,0
2020-05-01,Taiwan,374
2020-05-01,Turkey,41431
2020-05-01,United Kingdom,74142
2020-05-01,United States,336456
