Date,Country,NumberOfTest
2020-06-29,Australia,36520
2020-06-29,Austria,3855
2020-06-29,Belgium,11992
2020-06-29,Canada,92729
2020-06-29,Chile,16799
2020-06-29,Colombia,17598
2020-06-29,Costa Rica,691
2020-06-29,Denmark,18722
2020-06-29,Estonia,1017
2020-06-29,Finland,1696
2020-06-29,France,61815
2020-06-29,Germany,0
2020-06-29,Greece,3255
2020-06-29,Hungary,2685
2020-06-29,Iceland,464
2020-06-29,Ireland,3340
2020-06-29,Israel,21017
2020-06-29,Italy,42702
2020-06-29,Japan,5510
2020-06-29,Latvia,861
2020-06-29,Lithuania,3741
2020-06-29,Luxembourg,8630
2020-06-29,Mexico,14771
2020-06-29,Netherlands,0
2020-06-29,New Zealand,1815
2020-06-29,Norway,5945
2020-06-29,Poland,13299
2020-06-29,Portugal,12541
2020-06-29,Slovakia,784
2020-06-29,Slovenia,1085
2020-06-29,South Korea,8765
2020-06-29,Spain,0
2020-06-29,Switzerland,13939
2020-06-29,Taiwan,184
2020-06-29,Turkey,51014
2020-06-29,United Kingdom,75662
2020-06-29,United States,664446
