Date,Country,NumberOfTest
2020-04-28,Australia,13616
2020-04-28,Austria,7041
2020-04-28,Belgium,20371
2020-04-28,Canada,48072
2020-04-28,Chile,4930
2020-04-28,Costa Rica,59
2020-04-28,Denmark,16262
2020-04-28,Estonia,1967
2020-04-28,Finland,3788
2020-04-28,Germany,0
2020-04-28,Greece,3739
2020-04-28,Hungary,1547
2020-04-28,Iceland,508
2020-04-28,Ireland,6306
2020-04-28,Israel,10641
2020-04-28,Italy,94826
2020-04-28,Japan,3244
2020-04-28,Latvia,2380
2020-04-28,Lithuania,5862
2020-04-28,Luxembourg,1724
2020-04-28,Mexico,4549
2020-04-28,Netherlands,0
2020-04-28,New Zealand,5102
2020-04-28,Norway,4113
2020-04-28,Poland,12885
2020-04-28,Portugal,15516
2020-04-28,Slovakia,5472
2020-04-28,Slovenia,1360
2020-04-28,South Korea,6546
2020-04-28,Spain,0
2020-04-28,Taiwan,694
2020-04-28,Turkey,29230
2020-04-28,United Kingdom,45263
2020-04-28,United States,269591
