Date,Country,NumberOfTest
2021-08-11,Australia,207195
2021-08-11,Austria,264414
2021-08-11,Belgium,46870
2021-08-11,Canada,55134
2021-08-11,Chile,32843
2021-08-11,Colombia,58903
2021-08-11,Costa Rica,8768
2021-08-11,Czechia,84732
2021-08-11,Denmark,54332
2021-08-11,Estonia,6009
2021-08-11,Finland,24124
2021-08-11,France,772805
2021-08-11,Greece,88069
2021-08-11,Hungary,8177
2021-08-11,Iceland,3411
2021-08-11,Israel,139180
2021-08-11,Italy,285541
2021-08-11,Japan,128856
2021-08-11,Latvia,7590
2021-08-11,Lithuania,16010
2021-08-11,Luxembourg,3287
2021-08-11,Mexico,44215
2021-08-11,New Zealand,6286
2021-08-11,Norway,18796
2021-08-11,Poland,80752
2021-08-11,Portugal,53465
2021-08-11,Slovakia,13905
2021-08-11,Slovenia,1829
2021-08-11,South Korea,21969
2021-08-11,Switzerland,19004
2021-08-11,Taiwan,22206
2021-08-11,United Kingdom,828050
2021-08-11,United States,911953
