tDate,Country,NumberOfTest
2021-03-02,Australia,39974
2021-03-02,Austria,354794
2021-03-02,Belgium,57773
2021-03-02,Canada,75664
2021-03-02,Chile,31617
2021-03-02,Colombia,37650
2021-03-02,Costa Rica,2790
2021-03-02,Czechia,115613
2021-03-02,Denmark,161159
2021-03-02,Estonia,7626
2021-03-02,Finland,26550
2021-03-02,France,337545
2021-03-02,Germany,0
2021-03-02,Greece,61255
2021-03-02,Hungary,12818
2021-03-02,Iceland,428
2021-03-02,Ireland,11680
2021-03-02,Israel,93238
2021-03-02,Italy,441232
2021-03-02,Japan,82324
2021-03-02,Latvia,14225
2021-03-02,Lithuania,9302
2021-03-02,Luxembourg,11879
2021-03-02,Mexico,27424
2021-03-02,Netherlands,0
2021-03-02,New Zealand,8880
2021-03-02,Norway,23974
2021-03-02,Poland,99723
2021-03-02,Portugal,29735
2021-03-02,Slovakia,230584
2021-03-02,Slovenia,6231
2021-03-02,South Korea,16534
2021-03-02,Spain,0
2021-03-02,Sweden,36440
2021-03-02,Switzerland,29761
2021-03-02,Taiwan,434
2021-03-02,Turkey,135291
2021-03-02,United Kingdom,675543
2021-03-02,United States,1609412
