tDate,Country,NumberOfTest
2021-09-03,Australia,0
2021-09-03,Austria,264200
2021-09-03,Belgium,49076
2021-09-03,Canada,88400
2021-09-03,Chile,57318
2021-09-03,Colombia,53823
2021-09-03,Costa Rica,10434
2021-09-03,Czechia,99344
2021-09-03,Denmark,55028
2021-09-03,Estonia,5121
2021-09-03,Finland,25395
2021-09-03,France,844952
2021-09-03,Hungary,10882
2021-09-03,Iceland,2625
2021-09-03,Ireland,21131
2021-09-03,Israel,149806
2021-09-03,Italy,359904
2021-09-03,Japan,200328
2021-09-03,Luxembourg,5949
2021-09-03,Mexico,29456
2021-09-03,New Zealand,12796
2021-09-03,Norway,30852
2021-09-03,Portugal,64923
2021-09-03,Slovakia,26425
2021-09-03,Slovenia,3757
2021-09-03,South Korea,57908
2021-09-03,Sweden,33806
2021-09-03,Switzerland,47452
2021-09-03,Taiwan,26832
2021-09-03,Turkey,304530
2021-09-03,United Kingdom,1179901
2021-09-03,United States,964142
