Date,Country,NumberOfTest
2021-02-18,Australia,73162
2021-02-18,Austria,274347
2021-02-18,Belgium,40483
2021-02-18,Canada,88279
2021-02-18,Chile,51196
2021-02-18,Colombia,46243
2021-02-18,Costa Rica,3126
2021-02-18,Czechia,78988
2021-02-18,Denmark,153808
2021-02-18,Estonia,6407
2021-02-18,Finland,21616
2021-02-18,France,362499
2021-02-18,Germany,0
2021-02-18,Greece,37009
2021-02-18,Hungary,20855
2021-02-18,Iceland,698
2021-02-18,Ireland,15829
2021-02-18,Israel,52620
2021-02-18,Italy,386459
2021-02-18,Japan,54504
2021-02-18,Latvia,10929
2021-02-18,Lithuania,8396
2021-02-18,Luxembourg,10439
2021-02-18,Mexico,26660
2021-02-18,Netherlands,0
2021-02-18,New Zealand,16642
2021-02-18,Norway,18748
2021-02-18,Poland,107636
2021-02-18,Portugal,33985
2021-02-18,Slovakia,182643
2021-02-18,Slovenia,4556
2021-02-18,South Korea,44337
2021-02-18,Spain,0
2021-02-18,Sweden,32580
2021-02-18,Switzerland,30572
2021-02-18,Taiwan,698
2021-02-18,Turkey,115406
2021-02-18,United Kingdom,560400
2021-02-18,United States,1413799
