tDate,Country,NumberOfTest
2021-11-01,Australia,127343
2021-11-01,Austria,276500
2021-11-01,Belgium,37486
2021-11-01,Canada,66084
2021-11-01,Chile,57176
2021-11-01,Colombia,36244
2021-11-01,Costa Rica,1152
2021-11-01,Czechia,110252
2021-11-01,Denmark,121021
2021-11-01,Estonia,7811
2021-11-01,Finland,10621
2021-11-01,France,85615
2021-11-01,Greece,82593
2021-11-01,Hungary,81168
2021-11-01,Iceland,2222
2021-11-01,Ireland,21441
2021-11-01,Israel,96153
2021-11-01,Italy,174503
2021-11-01,Japan,49595
2021-11-01,Latvia,6892
2021-11-01,Lithuania,9267
2021-11-01,Luxembourg,439
2021-11-01,Mexico,15862
2021-11-01,New Zealand,0
2021-11-01,Norway,18342
2021-11-01,Poland,56579
2021-11-01,Portugal,18316
2021-11-01,Slovakia,20423
2021-11-01,Slovenia,2640
2021-11-01,Switzerland,23155
2021-11-01,Taiwan,23520
2021-11-01,Turkey,356643
2021-11-01,United Kingdom,894998
2021-11-01,United States,993753
