Date,Country,NumberOfTest
2021-05-30,Australia,0
2021-05-30,Austria,339485
2021-05-30,Belgium,20737
2021-05-30,Canada,66999
2021-05-30,Chile,77048
2021-05-30,Colombia,78907
2021-05-30,Costa Rica,3453
2021-05-30,Czechia,63765
2021-05-30,Denmark,122759
2021-05-30,Estonia,2904
2021-05-30,Finland,8635
2021-05-30,France,50802
2021-05-30,Germany,0
2021-05-30,Greece,19775
2021-05-30,Hungary,15242
2021-05-30,Israel,22361
2021-05-30,Italy,219298
2021-05-30,Japan,30097
2021-05-30,Latvia,4377
2021-05-30,Lithuania,5915
2021-05-30,Luxembourg,337
2021-05-30,Mexico,3786
2021-05-30,Netherlands,0
2021-05-30,New Zealand,0
2021-05-30,Norway,9576
2021-05-30,Poland,89520
2021-05-30,Portugal,20306
2021-05-30,Slovakia,75802
2021-05-30,Slovenia,1503
2021-05-30,South Korea,11320
2021-05-30,Spain,0
2021-05-30,Sweden,32800
2021-05-30,Switzerland,8884
2021-05-30,Taiwan,13534
2021-05-30,Turkey,218957
2021-05-30,United Kingdom,625777
2021-05-30,United States,352750
