tDate,Country,NumberOfTest
2022-02-16,Australia,102972
2022-02-16,Austria,856210
2022-02-16,Belgium,50359
2022-02-16,Canada,68164
2022-02-16,Chile,101768
2022-02-16,Colombia,35630
2022-02-16,Czechia,73088
2022-02-16,Denmark,115753
2022-02-16,Estonia,11125
2022-02-16,Finland,17577
2022-02-16,France,409739
2022-02-16,Greece,0
2022-02-16,Hungary,17933
2022-02-16,Iceland,5405
2022-02-16,Ireland,19038
2022-02-16,Israel,117801
2022-02-16,Italy,555080
2022-02-16,Japan,228716
2022-02-16,Latvia,24550
2022-02-16,Lithuania,14083
2022-02-16,Luxembourg,2702
2022-02-16,Mexico,15194
2022-02-16,Netherlands,87580
2022-02-16,New Zealand,0
2022-02-16,Norway,24092
2022-02-16,Poland,112478
2022-02-16,Portugal,113929
2022-02-16,Slovakia,63226
2022-02-16,Slovenia,94245
2022-02-16,South Korea,435534
2022-02-16,Spain,129144
2022-02-16,Switzerland,66088
2022-02-16,Taiwan,29890
2022-02-16,Turkey,463241
2022-02-16,United Kingdom,998396
