Date,Country,NumberOfTest
2020-12-06,Australia,0
2020-12-06,Austria,18118
2020-12-06,Belgium,10538
2020-12-06,Canada,204437
2020-12-06,Chile,42177
2020-12-06,Colombia,35345
2020-12-06,Costa Rica,2841
2020-12-06,Czechia,10088
2020-12-06,Denmark,69187
2020-12-06,Estonia,2955
2020-12-06,Finland,11462
2020-12-06,France,26391
2020-12-06,Germany,0
2020-12-06,Greece,12968
2020-12-06,Hungary,23681
2020-12-06,Iceland,452
2020-12-06,Ireland,9413
2020-12-06,Israel,42928
2020-12-06,Italy,-569445
2020-12-06,Japan,17612
2020-12-06,Latvia,5822
2020-12-06,Lithuania,5628
2020-12-06,Luxembourg,776
2020-12-06,Mexico,5930
2020-12-06,Netherlands,0
2020-12-06,New Zealand,5490
2020-12-06,Norway,7391
2020-12-06,Poland,47046
2020-12-06,Portugal,15772
2020-12-06,Slovakia,7155
2020-12-06,Slovenia,1751
2020-12-06,South Korea,12922
2020-12-06,Spain,0
2020-12-06,Sweden,38302
2020-12-06,Switzerland,10087
2020-12-06,Taiwan,137
2020-12-06,Turkey,174761
2020-12-06,United Kingdom,272787
2020-12-06,United States,1292066
