tDate,Country,NumberOfTest
2022-03-10,Australia,64359555
2022-03-10,Austria,164876915
2022-03-10,Belgium,32110333
2022-03-10,Canada,58655426
2022-03-10,Chile,33576200
2022-03-10,Colombia,33392633
2022-03-10,Czechia,52105170
2022-03-10,Denmark,63349797
2022-03-10,Estonia,3182177
2022-03-10,Finland,10129505
2022-03-10,France,250560572
2022-03-10,Greece,0
2022-03-10,Hungary,10456287
2022-03-10,Iceland,1233881
2022-03-10,Ireland,11497091
2022-03-10,Israel,47285394
2022-03-10,Italy,191387173
2022-03-10,Japan,39085277
2022-03-10,Latvia,6818779
2022-03-10,Lithuania,8263920
2022-03-10,Luxembourg,4099176
2022-03-10,Mexico,14670958
2022-03-10,Netherlands,29162008
2022-03-10,New Zealand,0
2022-03-10,Norway,10896972
2022-03-10,Poland,33577205
2022-03-10,Portugal,38992128
2022-03-10,Slovakia,49975409
2022-03-10,Slovenia,4530410
2022-03-10,South Korea,66913010
2022-03-10,Spain,86786838
2022-03-10,Switzerland,19274707
2022-03-10,Taiwan,0
2022-03-10,Turkey,147847558
2022-03-10,United Kingdom,471435886
2022-03-10,United States,830778354
