Date,Country,NumberOfTest
2020-11-29,Australia,0
2020-11-29,Austria,22197
2020-11-29,Belgium,9628
2020-11-29,Canada,201140
2020-11-29,Chile,42774
2020-11-29,Colombia,40115
2020-11-29,Costa Rica,2523
2020-11-29,Czechia,10070
2020-11-29,Denmark,58069
2020-11-29,Estonia,3967
2020-11-29,Finland,13935
2020-11-29,France,23774
2020-11-29,Germany,0
2020-11-29,Greece,16426
2020-11-29,Hungary,16311
2020-11-29,Iceland,543
2020-11-29,Ireland,9443
2020-11-29,Israel,40461
2020-11-29,Italy,257066
2020-11-29,Japan,11975
2020-11-29,Latvia,4037
2020-11-29,Lithuania,4892
2020-11-29,Luxembourg,856
2020-11-29,Mexico,5824
2020-11-29,Netherlands,0
2020-11-29,New Zealand,0
2020-11-29,Norway,7108
2020-11-29,Poland,48795
2020-11-29,Portugal,16934
2020-11-29,Slovakia,1171
2020-11-29,Slovenia,1875
2020-11-29,South Korea,10932
2020-11-29,Spain,0
2020-11-29,Sweden,40350
2020-11-29,Switzerland,8749
2020-11-29,Taiwan,241
2020-11-29,Turkey,168212
2020-11-29,United Kingdom,219899
2020-11-29,United States,1151151
