tDate,Country,NumberOfTest
2020-03-16,Belgium,1892
2020-03-16,Canada,17272
2020-03-16,Costa Rica,171
2020-03-16,Denmark,1016
2020-03-16,Estonia,353
2020-03-16,Finland,868
2020-03-16,Germany,0
2020-03-16,Greece,320
2020-03-16,Hungary,234
2020-03-16,Iceland,1707
2020-03-16,Israel,1344
2020-03-16,Italy,13063
2020-03-16,Japan,2083
2020-03-16,Latvia,351
2020-03-16,Luxembourg,358
2020-03-16,Mexico,366
2020-03-16,Netherlands,0
2020-03-16,New Zealand,404
2020-03-16,Poland,0
2020-03-16,Portugal,1683
2020-03-16,Slovakia,159
2020-03-16,Slovenia,871
2020-03-16,South Korea,0
2020-03-16,Taiwan,730
2020-03-16,United States,27538
