Date,Country,NumberOfTest
2020-04-04,Australia,0
2020-04-04,Austria,5791
2020-04-04,Belgium,5368
2020-04-04,Canada,31967
2020-04-04,Costa Rica,194
2020-04-04,Denmark,3685
2020-04-04,Estonia,1421
2020-04-04,Finland,3224
2020-04-04,Germany,0
2020-04-04,Greece,896
2020-04-04,Hungary,1655
2020-04-04,Iceland,1754
2020-04-04,Ireland,1849
2020-04-04,Israel,6355
2020-04-04,Italy,37375
2020-04-04,Japan,271
2020-04-04,Latvia,1182
2020-04-04,Lithuania,2325
2020-04-04,Luxembourg,824
2020-04-04,Mexico,1108
2020-04-04,Netherlands,0
2020-04-04,New Zealand,2603
2020-04-04,Norway,1386
2020-04-04,Poland,5963
2020-04-04,Portugal,9158
2020-04-04,Slovakia,1524
2020-04-04,Slovenia,655
2020-04-04,South Korea,0
2020-04-04,Taiwan,864
2020-04-04,Turkey,19664
2020-04-04,United Kingdom,15899
2020-04-04,United States,148706
