Date,Country,NumberOfTest
2021-10-29,Australia,173166
2021-10-29,Austria,312927
2021-10-29,Belgium,108360
2021-10-29,Canada,96988
2021-10-29,Chile,70963
2021-10-29,Colombia,47510
2021-10-29,Costa Rica,2017
2021-10-29,Czechia,130450
2021-10-29,Denmark,98569
2021-10-29,Estonia,8838
2021-10-29,Finland,12291
2021-10-29,France,376719
2021-10-29,Germany,0
2021-10-29,Greece,61485
2021-10-29,Hungary,23069
2021-10-29,Iceland,2099
2021-10-29,Ireland,24878
2021-10-29,Israel,82467
2021-10-29,Italy,533921
2021-10-29,Japan,62997
2021-10-29,Latvia,29633
2021-10-29,Lithuania,25401
2021-10-29,Luxembourg,3614
2021-10-29,Mexico,15453
2021-10-29,Netherlands,0
2021-10-29,New Zealand,32235
2021-10-29,Norway,11937
2021-10-29,Poland,118607
2021-10-29,Portugal,35314
2021-10-29,Slovakia,46823
2021-10-29,Slovenia,7606
2021-10-29,South Korea,52599
2021-10-29,Sweden,17969
2021-10-29,Switzerland,36540
2021-10-29,Taiwan,18983
2021-10-29,Turkey,351373
2021-10-29,United Kingdom,817785
2021-10-29,United States,1283913
