Date,Country,NumberOfTest
2021-01-10,Australia,0
2021-01-10,Austria,14175
2021-01-10,Belgium,22918
2021-01-10,Canada,255516
2021-01-10,Chile,59726
2021-01-10,Colombia,55567
2021-01-10,Costa Rica,2460
2021-01-10,Czechia,24864
2021-01-10,Denmark,48754
2021-01-10,Estonia,3564
2021-01-10,Finland,6501
2021-01-10,France,42285
2021-01-10,Germany,0
2021-01-10,Greece,19708
2021-01-10,Hungary,19262
2021-01-10,Iceland,445
2021-01-10,Ireland,24485
2021-01-10,Israel,96441
2021-01-10,Italy,202863
2021-01-10,Japan,24008
2021-01-10,Latvia,6336
2021-01-10,Lithuania,4451
2021-01-10,Luxembourg,637
2021-01-10,Mexico,10007
2021-01-10,Netherlands,0
2021-01-10,New Zealand,0
2021-01-10,Norway,14645
2021-01-10,Poland,87462
2021-01-10,Portugal,24980
2021-01-10,Slovakia,34601
2021-01-10,Slovenia,1720
2021-01-10,South Korea,28317
2021-01-10,Spain,0
2021-01-10,Sweden,30475
2021-01-10,Switzerland,8905
2021-01-10,Taiwan,277
2021-01-10,Turkey,162786
2021-01-10,United Kingdom,485874
2021-01-10,United States,1158817
