Date,Country,NumberOfTest
2020-11-21,Australia,0
2020-11-21,Austria,30808
2020-11-21,Belgium,21511
2020-11-21,Canada,191847
2020-11-21,Chile,39586
2020-11-21,Colombia,55067
2020-11-21,Costa Rica,3239
2020-11-21,Czechia,23306
2020-11-21,Denmark,57736
2020-11-21,Estonia,4968
2020-11-21,Finland,13047
2020-11-21,France,105532
2020-11-21,Germany,0
2020-11-21,Greece,30920
2020-11-21,Hungary,24806
2020-11-21,Iceland,334
2020-11-21,Ireland,10444
2020-11-21,Israel,15893
2020-11-21,Italy,358540
2020-11-21,Japan,24924
2020-11-21,Latvia,7204
2020-11-21,Lithuania,11626
2020-11-21,Luxembourg,11715
2020-11-21,Mexico,9525
2020-11-21,Netherlands,0
2020-11-21,New Zealand,7014
2020-11-21,Norway,8312
2020-11-21,Poland,86359
2020-11-21,Portugal,34874
2020-11-21,Slovakia,5750
2020-11-21,Slovenia,3434
2020-11-21,South Korea,20101
2020-11-21,Spain,0
2020-11-21,Sweden,38266
2020-11-21,Switzerland,16485
2020-11-21,Taiwan,210
2020-11-21,Turkey,152214
2020-11-21,United Kingdom,369040
2020-11-21,United States,1855588
