Date,Country,NumberOfTest
2021-10-17,Australia,0
2021-10-17,Austria,298128
2021-10-17,Belgium,23887
2021-10-17,Canada,102220
2021-10-17,Chile,65170
2021-10-17,Colombia,27260
2021-10-17,Costa Rica,3840
2021-10-17,Czechia,34676
2021-10-17,Denmark,40730
2021-10-17,Estonia,4988
2021-10-17,Finland,6745
2021-10-17,France,60655
2021-10-17,Germany,0
2021-10-17,Greece,0
2021-10-17,Hungary,0
2021-10-17,Iceland,725
2021-10-17,Ireland,20038
2021-10-17,Israel,88862
2021-10-17,Italy,442347
2021-10-17,Japan,18498
2021-10-17,Latvia,15971
2021-10-17,Lithuania,10139
2021-10-17,Luxembourg,278
2021-10-17,Mexico,5454
2021-10-17,Netherlands,0
2021-10-17,New Zealand,0
2021-10-17,Norway,3846
2021-10-17,Poland,50781
2021-10-17,Portugal,19380
2021-10-17,Slovakia,21107
2021-10-17,Slovenia,1356
2021-10-17,South Korea,0
2021-10-17,Spain,0
2021-10-17,Sweden,20562
2021-10-17,Switzerland,9048
2021-10-17,Taiwan,11081
2021-10-17,Turkey,341426
2021-10-17,United Kingdom,980528
2021-10-17,United States,686253
