tDate,Country,Province,SchoolFlag,WorkplaceFlag,CancelPublicEventsFlag,RestrictionsOnGatheringsFlag,PublicTransportFlag,StayAtHomeFlag,RestrictionsOnInternalFlag,PublicInformationCampaignsFlag
2022-09-07,Australia,,,,,,,,,
2022-09-07,Austria,,0,1,1,1,,,,1
2022-09-07,Belgium,,,,,,,,,
2022-09-07,Canada,,,,,,0,,,1
2022-09-07,Chile,,,,,,,,,
2022-09-07,China,,,,,,,,,
2022-09-07,Colombia,,0,1,,,,,,1
2022-09-07,Costa Rica,,,,,,,,,
2022-09-07,Czechia,,,,,,,,,
2022-09-07,Denmark,,,,,,,,,
2022-09-07,Estonia,,,,,,,,,
2022-09-07,Finland,,,,,,,,,
2022-09-07,France,,,,,,,,,
2022-09-07,Germany,,,,,,,1,,1
2022-09-07,Greece,,1,,,,,,,1
2022-09-07,Hungary,,,,,,,,,
2022-09-07,Iceland,,,,,,,,,
2022-09-07,Ireland,,,,,,,,,
2022-09-07,Israel,,1,,,,,,,1
2022-09-07,Italy,,,,,,,,,
2022-09-07,Japan,,,,,,,,,
2022-09-07,Latvia,,,,,,,,,
2022-09-07,Lithuania,,,,,,,,,
2022-09-07,Luxembourg,,,,,,,,,1
2022-09-07,Mexico,,1,0,,,,,,1
2022-09-07,Netherlands,,,,,,,,,
2022-09-07,New Zealand,,,,,,,,,1
2022-09-07,Norway,,,,,,,,,
2022-09-07,Poland,,,,,,,,,
2022-09-07,Portugal,,,,,,,,,
2022-09-07,Slovakia,,,,,,,,,
2022-09-07,Slovenia,,,,,,,,,
2022-09-07,South Korea,,,,,,,,,
2022-09-07,Spain,,,,,,,,,
2022-09-07,Sweden,,,,,,,,,
2022-09-07,Switzerland,,,,,,,,,
2022-09-07,Taiwan,,1,1,,,,,,1
2022-09-07,Turkey,,,,,,,,,
2022-09-07,United Kingdom,,,,,,,,,
2022-09-07,United States,,,0,,,0,0,,
