 tDate, Country, Province, SchoolFlag, WorkplaceFlag, CancelPublicEventsFlag, RestrictionsOnGatheringsFlag, PublicTransportFlag, StayAtHomeFlag, RestrictionsOnInternalFlag, PublicInformationCampaignsFlag 
2021-12-26,Afghanistan,,,,,,,,,
2021-12-26,Albania,,,,,,,,,
2021-12-26,Algeria,,,,,,,,,
2021-12-26,Andorra,,,,,,,,,
2021-12-26,Angola,,,,,,,,,
2021-12-26,Argentina,,,,,,,,,
2021-12-26,Aruba,,,,,,,,,
2021-12-26,Australia,,,,,,,,,
2021-12-26,Austria,,,,,,,,,
2021-12-26,Azerbaijan,,,,,,,,,
2021-12-26,Bahamas,,,,,,,,,
2021-12-26,Bahrain,,,,,,,,,
2021-12-26,Bangladesh,,,,,,,,,
2021-12-26,Barbados,,,,,,,,,
2021-12-26,Belarus,,,,,,,,,
2021-12-26,Belgium,,1,1,1,1,,,,1
2021-12-26,Belize,,,,,,,,,
2021-12-26,Benin,,,,,,,,,
2021-12-26,Bermuda,,,,,,,,,
2021-12-26,Bhutan,,,,,,,,,
2021-12-26,Bolivia,,,,,,,,,
2021-12-26,Bosnia and Herzegovina,,,,,,,,,
2021-12-26,Botswana,,,,,,,,,
2021-12-26,Brazil,,,,,,,,,
2021-12-26,Brazil,Acre,,,,,,,,
2021-12-26,Brazil,Alagoas,,,,,,,,
2021-12-26,Brazil,Amapa,,,,,,,,
2021-12-26,Brazil,Amazonas,,,,,,,,
2021-12-26,Brazil,Bahia,,,,,,,,
2021-12-26,Brazil,Ceara,,,,,,,,
2021-12-26,Brazil,Distrito Federal,,,,,,,,
2021-12-26,Brazil,Espirito Santo,,,,,,,,
2021-12-26,Brazil,Goias,,,,,,,,
2021-12-26,Brazil,Maranhao,,,,,,,,
2021-12-26,Brazil,Mato Grosso,,,,,,,,
2021-12-26,Brazil,Mato Grosso do Sul,,,,,,,,
2021-12-26,Brazil,Minas Gerais,,,,,,,,
2021-12-26,Brazil,Para,,,,,,,,
2021-12-26,Brazil,Paraiba,,,,,,,,
2021-12-26,Brazil,Parana,,,,,,,,
2021-12-26,Brazil,Pernambuco,,,,,,,,
2021-12-26,Brazil,Piaui,,,,,,,,
2021-12-26,Brazil,Rio de Janeiro,,,,,,,,
2021-12-26,Brazil,Rio Grande do Norte,,,,,,,,
2021-12-26,Brazil,Rio Grande do Sul,,,,,,,,
2021-12-26,Brazil,Rondonia,,,,,,,,
2021-12-26,Brazil,Roraima,,,,,,,,
2021-12-26,Brazil,Santa Catarina,,,,,,,,
2021-12-26,Brazil,Sao Paulo,,,,,,,,
2021-12-26,Brazil,Sergipe,,,,,,,,
2021-12-26,Brazil,Tocantins,,,,,,,,
2021-12-26,Brunei,,1,1,1,1,1,1,,1
2021-12-26,Bulgaria,,,,,,,,,
2021-12-26,Burkina Faso,,,,,,,,,
2021-12-26,Burundi,,,,,,,,,
2021-12-26,Cambodia,,,,,,,,,
2021-12-26,Cameroon,,,,1,1,,,,1
2021-12-26,Canada,,,,,,,0,,
2021-12-26,Canada,Alberta,,,,,,,,
2021-12-26,Canada,British Columbia,,,,,,,,
2021-12-26,Canada,Manitoba,,,,,,,,
2021-12-26,Canada,New Brunswick,,,,,,,,
2021-12-26,Canada,Newfoundland and Labrador,,,,,,,,
2021-12-26,Canada,Northwest Territories,,,,,,,,
2021-12-26,Canada,Nova Scotia,,,,,,,,
2021-12-26,Canada,Nunavut,,,,,,,,
2021-12-26,Canada,Ontario,,,,,,,,
2021-12-26,Canada,Prince Edward Island,,,,,,,,
2021-12-26,Canada,Quebec,,,,,,,,
2021-12-26,Canada,Saskatchewan,,,,,,,,
2021-12-26,Canada,Yukon,,,,,,,,
2021-12-26,Cape Verde,,,,,,,,,
2021-12-26,Central African Republic,,,,,,,,,
2021-12-26,Chad,,,,,1,,,,1
2021-12-26,Chile,,,,,,,,,
2021-12-26,China,,,,,,,,,
2021-12-26,China,Anhui,,,,,,,,
2021-12-26,China,Beijing,1,0,1,1,1,1,1,1
2021-12-26,China,Chongqing,,,,,,,,
2021-12-26,China,Fujian,0,0,0,0,0,1,0,1
2021-12-26,China,Gansu,1,1,1,1,,1,1,1
2021-12-26,China,Guangdong,1,0,0,0,0,0,1,1
2021-12-26,China,Guangxi,1,1,1,1,1,,1,1
2021-12-26,China,Guizhou,1,1,1,1,,,1,1
2021-12-26,China,Hainan,1,1,1,,,1,1,1
2021-12-26,China,Hebei,1,1,1,1,1,1,1,1
2021-12-26,China,Heilongjiang,0,0,0,0,0,0,0,1
2021-12-26,China,Henan,1,0,0,0,,1,1,1
2021-12-26,China,Hubei,1,1,1,1,,1,1,1
2021-12-26,China,Hunan,1,1,,1,1,,1,1
2021-12-26,China,Inner Mongolia,0,0,0,0,0,0,0,1
2021-12-26,China,Jiangsu,,,,,,,,
2021-12-26,China,Jiangxi,0,0,0,0,0,0,0,1
2021-12-26,China,Jilin,1,1,1,1,,1,1,1
2021-12-26,China,Liaoning,1,1,1,,,,1,1
2021-12-26,China,Ningxia,1,1,1,0,0,,0,1
2021-12-26,China,Qinghai,,,,,,,,
2021-12-26,China,Shaanxi,0,0,0,0,0,0,1,1
2021-12-26,China,Shandong,1,0,0,0,,,1,1
2021-12-26,China,Shanghai,,,,,,,,
2021-12-26,China,Shanxi,1,0,0,0,,1,1,1
2021-12-26,China,Sichuan,1,1,1,1,,,1,1
2021-12-26,China,Tianjin,,,,,,,,
2021-12-26,China,Tibet,1,1,1,1,,,1,1
2021-12-26,China,Xinjiang,1,1,1,1,1,1,1,1
2021-12-26,China,Yunnan,0,0,0,0,1,1,0,1
2021-12-26,China,Zhejiang,1,1,1,0,,1,1,1
2021-12-26,Colombia,,,,,,,,,
2021-12-26,Comoros,,,,,,,,,
2021-12-26,Congo,,,,,,,,,
2021-12-26,Costa Rica,,,,,,,,,
2021-12-26,Cote d`Ivoire,,,,,,,,,
2021-12-26,Croatia,,,,,,,,,
2021-12-26,Cuba,,,,,,,,,
2021-12-26,Cyprus,,,,,,,,,
2021-12-26,Czechia,,1,1,1,1,,,,1
2021-12-26,Democratic Republic of Congo,,,,,,,,,
2021-12-26,Denmark,,,,,,,,,
2021-12-26,Djibouti,,,,,,,,,
2021-12-26,Dominica,,,,,,,,,
2021-12-26,Dominican Republic,,,,,,,,,
2021-12-26,Ecuador,,,,,,,,,
2021-12-26,Egypt,,,,,,,,,
2021-12-26,El Salvador,,,,1,1,,,,1
2021-12-26,Eritrea,,,,,,,,,
2021-12-26,Estonia,,,,,,,,,
2021-12-26,Eswatini,,,,,,,,,
2021-12-26,Ethiopia,,,,,,,,,
2021-12-26,Faeroe Islands,,,,,,,,,
2021-12-26,Fiji,,,,,,,,,
2021-12-26,Finland,,,,,,,,,
2021-12-26,France,,1,1,1,1,1,,1,1
2021-12-26,Gabon,,,,,,,,,
2021-12-26,Gambia,,,,,,,,,
2021-12-26,Georgia,,,,,,,,,
2021-12-26,Germany,,,,,,,,,
2021-12-26,Ghana,,,,,,,,,
2021-12-26,Greece,,,,,,,,,
2021-12-26,Greenland,,1,0,1,,,1,1,1
2021-12-26,Guam,,,,,,,,,
2021-12-26,Guatemala,,,,,,,,,
2021-12-26,Guinea,,,,,,,,,
