 tDate, Country, Province, SchoolFlag, WorkplaceFlag, CancelPublicEventsFlag, RestrictionsOnGatheringsFlag, PublicTransportFlag, StayAtHomeFlag, RestrictionsOnInternalFlag, PublicInformationCampaignsFlag 
2022-03-01,Afghanistan,,,,,,,,,
2022-03-01,Albania,,1,1,1,1,,,1,1
2022-03-01,Algeria,,,,,,,,,
2022-03-01,Andorra,,,,,,,,,
2022-03-01,Angola,,,,,,,,,
2022-03-01,Argentina,,,,,,,,,
2022-03-01,Aruba,,,,,,,,,
2022-03-01,Australia,,,1,0,0,0,,0,1
2022-03-01,Austria,,0,1,1,1,1,,,1
2022-03-01,Azerbaijan,,,,,,,,,
2022-03-01,Bahamas,,,,,,,,,
2022-03-01,Bahrain,,,,,,,,,
2022-03-01,Bangladesh,,,,,,,,,
2022-03-01,Barbados,,1,1,1,1,,,,1
2022-03-01,Belarus,,,,,,,,,
2022-03-01,Belgium,,,,,,,,,
2022-03-01,Belize,,,,,,,,,
2022-03-01,Benin,,,,,,,,,
2022-03-01,Bermuda,,,,,,,,,
2022-03-01,Bhutan,,1,0,0,0,0,0,0,1
2022-03-01,Bolivia,,,,,,,,,
2022-03-01,Bosnia and Herzegovina,,,,,,,,,
2022-03-01,Botswana,,,,,,,,,
2022-03-01,Brazil,,,,,,,,,
2022-03-01,Brazil,Acre,,,,,,,,
2022-03-01,Brazil,Alagoas,,,,,,,,
2022-03-01,Brazil,Amapa,,,,,,,,
2022-03-01,Brazil,Amazonas,,,,,,,,
2022-03-01,Brazil,Bahia,,,,,,,,
2022-03-01,Brazil,Ceara,,,,,,,,
2022-03-01,Brazil,Distrito Federal,,,,,,,,
2022-03-01,Brazil,Espirito Santo,,,,,,,,
2022-03-01,Brazil,Goias,,,,,,,,
2022-03-01,Brazil,Maranhao,,,,,,,,
2022-03-01,Brazil,Mato Grosso,,,,,,,,
2022-03-01,Brazil,Mato Grosso do Sul,,,,,,,,
2022-03-01,Brazil,Minas Gerais,,,,,,,,
2022-03-01,Brazil,Para,,,,,,,,
2022-03-01,Brazil,Paraiba,,,,,,,,
2022-03-01,Brazil,Parana,,,,,,,,
2022-03-01,Brazil,Pernambuco,,,,,,,,
2022-03-01,Brazil,Piaui,,,,,,,,
2022-03-01,Brazil,Rio de Janeiro,,,,,,,,
2022-03-01,Brazil,Rio Grande do Norte,,,,,,,,
2022-03-01,Brazil,Rio Grande do Sul,,,,,,,,
2022-03-01,Brazil,Rondonia,,,,,,,,
2022-03-01,Brazil,Roraima,,,,,,,,
2022-03-01,Brazil,Santa Catarina,,,,,,,,
2022-03-01,Brazil,Sao Paulo,,,,,,,,
2022-03-01,Brazil,Sergipe,,,,,,,,
2022-03-01,Brazil,Tocantins,,,,,,,,
2022-03-01,Brunei,,,,,,,,,
2022-03-01,Bulgaria,,,,,,,,,
2022-03-01,Burkina Faso,,,,,,,,,
2022-03-01,Burundi,,,,,,,,,
2022-03-01,Cambodia,,,,,,,,,
2022-03-01,Cameroon,,,,,,,,,
2022-03-01,Canada,,,,,,,,,
2022-03-01,Canada,Alberta,1,,,,0,,,1
2022-03-01,Canada,British Columbia,,,,,,,,
2022-03-01,Canada,Manitoba,,,,,,,,
